Pruning Fraction,# Fine Tuning Parameters,Maximum Memory Usage [MB],Accuracy,Average Latency for one image [ms],Maximum Power Consumption [W],Average Enery Consmption for One Image [mj]
0.05,10,10,77.6,82.380,7.302,503.82878
0.10,10,7,76,75.830,6.699,475.108036
0.20,10,8,77.6,67.394,6.859,443.603046
0.30,10,7,77.1,60.933,7.076,398.215293
0.40,10,5,74.3,55.160,6.996,368.828982
0.50,10,5,66.8,48.630,7.138,339.841448
0.60,10,4,64.3,42.540,7.5,304.460859
0.70,10,4,62,34.507,7.889,261.680378
0.80,10,4,56,26.129,8.397,206.887277
0.90,10,3,52,12.089,5.844,68.393505
