Pruning Fraction,# Fine Tuning Parameters,Maximum Memory Usage [MB],Accuracy,Average Latency for one image [ms],Maximum Power Consumption [W],Average Enery Consmption for One Image [mj]
0.00,10,4,81.69,33.280,5.26,167.984579
0.05,10,4,81.899,33.990,5.008,168.749881
0.10,10,18,80.7,29.398,7.653,156.838552
0.15,10,17,82.399,25.790,5.45,133.720587
0.20,10,15,83.3,24.021,5.416,126.736794
0.25,10,16,81.2,21.900,6.775,116.059455
0.30,10,16,81.5,21.300,5.668,109.72308
0.35,10,15,81.3,21.882,6.47,107.422554
0.40,10,15,81.5,20.159,5.233,96.33196
0.45,10,16,82.3,15.096,5.107,73.659667
0.50,10,14,79.7,11.370,6.351,66.874239
0.55,10,18,80.2,10.257,7.073,61.77604
0.60,10,16,76.4,8.140,5.168,45.542339
0.65,10,16,76.6,7.300,5.649,45.723522
0.70,10,16,76.3,5.730,5.191,23.857539
0.75,10,15,74.8,4.470,5.237,26.436625
0.80,10,16,73.9,2.900,5.458,9.737809
0.85,10,15,69.9,2.450,5.034,6.973264
0.90,10,15,70.2,1.770,4.977,10.926865
0.95,10,17,62.5,1.240,6.699,10.251349
