time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7,
1651447511.6509356,0.0,0.667,0.8,0.833,0.8,0.8,1.0,1.0,0.8,35.0,40.0,42.0,34.0,
1651447511.8512473,0.0,0.0,0.75,0.789,0.789,0.8,0.9520000000000001,0.762,0.8,35.0,42.0,40.0,35.0,
1651447512.0515273,0.0,0.05,0.048,0.091,0.0,0.0,0.9470000000000001,0.095,0.05,33.0,39.0,39.0,34.0,
1651447512.2518172,4.496,0.05,0.0,0.0,0.429,0.611,0.15,0.0,0.091,36.0,35.0,36.0,34.0,
1651447512.4520822,4.496,0.05,0.0,0.0,0.5710000000000001,0.3,0.0,0.381,0.0,34.0,34.0,39.0,33.0,
1651447512.6523852,4.496,0.0,0.0,0.0,0.5,0.368,0.05,0.25,0.05,37.0,34.0,37.0,33.0,
1651447512.8526764,4.496,0.429,0.0,0.0,0.15,0.2,0.15,0.105,0.2,33.0,34.0,38.0,33.0,
1651447513.0529668,4.496,0.55,0.0,0.0,0.0,0.35,0.15,0.105,0.105,36.0,34.0,36.0,33.0,
1651447513.2532804,4.496,0.5710000000000001,0.0,0.0,0.0,0.23800000000000002,0.368,0.15,0.0,32.0,37.0,36.0,33.0,
1651447513.453559,4.137,0.579,0.048,0.0,0.0,0.05,0.28600000000000003,0.14300000000000002,0.33299999999999996,32.0,36.0,36.0,34.0,
1651447513.6538577,4.137,0.55,0.0,0.0,0.0,0.23800000000000002,0.2,0.1,0.15,35.0,35.0,36.0,33.0,
1651447513.8541384,4.137,0.6,0.0,0.0,0.0,0.28600000000000003,0.25,0.095,0.25,32.0,34.0,36.0,35.0,
1651447514.0544302,4.137,0.55,0.091,0.0,0.0,0.1,0.105,0.3,0.23800000000000002,35.0,35.0,37.0,34.0,
1651447514.2547371,4.137,0.591,0.0,0.0,0.0,0.1,0.25,0.316,0.05,33.0,36.0,38.0,33.0,
1651447514.4550507,4.034,0.579,0.05,0.0,0.0,0.048,0.35,0.05,0.316,32.0,34.0,37.0,37.0,
1651447514.6553383,4.034,0.526,0.0,0.0,0.0,0.19,0.429,0.05,0.182,33.0,37.0,36.0,33.0,
1651447514.8556342,4.034,0.55,0.048,0.0,0.0,0.2,0.23800000000000002,0.19,0.105,33.0,36.0,37.0,33.0,
1651447515.055967,4.034,0.474,0.0,0.0,0.0,0.21100000000000002,0.2,0.25,0.105,33.0,36.0,37.0,35.0,
1651447515.256242,4.034,0.579,0.05,0.0,0.0,0.0,0.25,0.048,0.429,33.0,34.0,36.0,37.0,
1651447515.456533,4.034,0.5,0.1,0.0,0.0,0.23800000000000002,0.15,0.25,0.105,33.0,34.0,36.0,35.0,
1651447515.6568239,4.034,0.0,0.524,0.0,0.0,0.105,0.33299999999999996,0.2,0.0,33.0,35.0,41.0,34.0,
1651447515.8571107,4.034,0.048,0.579,0.0,0.0,0.19,0.105,0.368,0.0,34.0,35.0,37.0,34.0,
1651447516.057414,4.034,0.0,0.474,0.0,0.0,0.105,0.2,0.25,0.14300000000000002,33.0,35.0,40.0,34.0,
1651447516.257714,4.034,0.05,0.524,0.0,0.0,0.23800000000000002,0.33299999999999996,0.1,0.105,33.0,37.0,36.0,34.0,
1651447516.4579995,4.034,0.05,0.5710000000000001,0.0,0.0,0.25,0.278,0.15,0.05,33.0,35.0,39.0,34.0,
1651447516.658292,3.992,0.048,0.5710000000000001,0.0,0.0,0.23800000000000002,0.21100000000000002,0.14300000000000002,0.15,33.0,36.0,37.0,34.0,
1651447516.8585935,3.992,0.0,0.5,0.0,0.0,0.105,0.42100000000000004,0.053,0.1,33.0,36.0,37.0,36.0,
1651447517.0588903,3.992,0.0,0.5,0.048,0.0,0.05,0.33299999999999996,0.14300000000000002,0.25,33.0,35.0,37.0,36.0,
1651447517.2591968,3.992,0.091,0.579,0.0,0.0,0.14300000000000002,0.389,0.105,0.0,33.0,36.0,38.0,34.0,
1651447517.4594991,3.992,0.0,0.5,0.0,0.0,0.15,0.2,0.2,0.23800000000000002,33.0,35.0,41.0,34.0,
1651447517.65979,3.992,0.105,0.55,0.0,0.0,0.15,0.25,0.25,0.105,33.0,36.0,38.0,34.0,
1651447517.860119,3.992,0.182,0.474,0.158,0.22699999999999998,0.14300000000000002,0.4,0.095,0.3,34.0,38.0,37.0,35.0,
1651447518.0604768,3.992,0.053,0.3,0.263,0.556,0.25,0.33299999999999996,0.263,0.5,35.0,36.0,39.0,36.0,
1651447518.260776,3.992,0.3,0.05,0.0,0.474,0.105,0.21100000000000002,0.263,0.23800000000000002,34.0,36.0,39.0,35.0,
1651447518.4610934,3.992,0.0,0.0,0.048,0.524,0.0,0.444,0.05,0.2,33.0,38.0,37.0,34.0,
1651447518.6613874,4.977,0.1,0.0,0.05,0.55,0.33299999999999996,0.095,0.14300000000000002,0.23800000000000002,34.0,35.0,37.0,37.0,
1651447518.8617125,4.977,0.0,0.0,0.0,0.526,0.0,0.474,0.05,0.15,34.0,37.0,37.0,34.0,
1651447519.0620165,4.977,0.095,0.048,0.0,0.524,0.15,0.35,0.1,0.105,34.0,38.0,37.0,34.0,
1651447519.2623143,4.977,0.0,0.0,0.0,0.5,0.095,0.263,0.105,0.263,33.0,36.0,37.0,37.0,
1651447519.4625862,4.107,0.1,0.0,0.0,0.579,0.15,0.182,0.364,0.22699999999999998,35.0,35.0,39.0,34.0,
1651447519.6628883,4.107,0.0,0.0,0.05,0.524,0.15,0.158,0.0,0.368,33.0,37.0,37.0,35.0,
1651447519.8631961,4.107,0.05,0.0,0.0,0.526,0.05,0.15,0.429,0.19,33.0,35.0,41.0,35.0,
1651447520.063492,4.107,0.05,0.0,0.0,0.526,0.095,0.35,0.25,0.15,34.0,36.0,40.0,34.0,
1651447520.2637882,4.176,0.1,0.0,0.0,0.5710000000000001,0.1,0.23800000000000002,0.263,0.19,33.0,36.0,38.0,36.0,
1651447520.4640937,4.176,0.0,0.0,0.0,0.524,0.05,0.381,0.15,0.2,33.0,38.0,37.0,34.0,
1651447520.6644053,4.176,0.1,0.0,0.091,0.5,0.14300000000000002,0.47600000000000003,0.1,0.15,34.0,38.0,38.0,35.0,
1651447520.8646984,4.176,0.263,0.0,0.16699999999999998,0.526,0.21100000000000002,0.7,0.21100000000000002,0.33299999999999996,35.0,40.0,39.0,36.0,
1651447521.06498,4.176,0.1,0.095,0.19,0.14300000000000002,0.28600000000000003,0.368,0.2,0.7,35.0,40.0,41.0,37.0,
1651447521.2652848,5.405,0.053,0.0,0.0,0.0,0.3,0.524,0.2,0.263,36.0,39.0,40.0,39.0,
1651447521.4655735,5.405,0.05,0.05,0.0,0.0,0.316,0.1,0.15,0.619,39.0,37.0,40.0,38.0,
1651447521.6658642,5.405,0.0,0.0,0.05,0.05,0.45,0.14300000000000002,0.4,0.368,39.0,38.0,42.0,37.0,
1651447521.8661873,5.405,0.3,0.2,0.0,0.25,0.28600000000000003,0.75,0.263,0.381,37.0,41.0,45.0,37.0,
1651447522.0665073,5.405,0.05,0.053,0.0,0.2,0.526,0.368,0.55,0.158,37.0,42.0,42.0,37.0,
1651447522.2667866,5.668,0.1,0.0,0.0,0.0,0.111,0.42100000000000004,0.15,0.429,37.0,41.0,41.0,39.0,
1651447522.4670787,5.668,0.0,0.048,0.048,0.0,0.053,0.474,0.35,0.316,36.0,40.0,43.0,40.0,
1651447522.6673803,5.668,0.0,0.0,0.0,0.0,0.095,0.65,0.105,0.3,36.0,40.0,41.0,40.0,
1651447522.8676934,5.668,0.048,0.0,0.0,0.0,0.1,0.524,0.05,0.526,36.0,42.0,40.0,38.0,
1651447523.0679798,5.668,0.05,0.0,0.0,0.0,0.381,0.45,0.158,0.21100000000000002,40.0,40.0,41.0,37.0,
1651447523.2680817,5.092,0.053,0.0,0.0,0.0,0.35,0.158,0.158,0.55,37.0,39.0,44.0,38.0,
1651447523.4683635,5.092,0.05,0.0,0.0,0.0,0.3,0.15,0.429,0.35,39.0,39.0,42.0,39.0,
1651447523.6686752,5.092,0.0,0.0,0.0,0.0,0.45,0.316,0.0,0.3,38.0,41.0,40.0,38.0,
1651447523.868969,5.092,0.048,0.048,0.0,0.0,0.263,0.474,0.158,0.21100000000000002,36.0,43.0,41.0,37.0,
1651447524.0692594,5.092,0.05,0.0,0.0,0.0,0.429,0.3,0.368,0.2,39.0,41.0,43.0,37.0,
1651447524.2695556,5.168,0.05,0.05,0.0,0.0,0.263,0.25,0.42100000000000004,0.222,39.0,40.0,43.0,38.0,
1651447524.469855,5.168,0.0,0.0,0.0,0.0,0.4,0.381,0.263,0.15,38.0,40.0,44.0,38.0,
1651447524.6701536,5.168,0.095,0.0,0.0,0.0,0.45,0.4,0.182,0.21100000000000002,41.0,41.0,41.0,37.0,
1651447524.870451,5.168,0.0,0.091,0.0,0.0,0.35,0.053,0.42100000000000004,0.316,38.0,39.0,43.0,40.0,
1651447525.0707364,5.168,0.05,0.048,0.0,0.0,0.158,0.33299999999999996,0.5,0.33299999999999996,39.0,42.0,44.0,38.0,
1651447525.2710247,5.107,0.095,0.05,0.0,0.0,0.158,0.158,0.526,0.35,38.0,41.0,43.0,38.0,
1651447525.4713156,5.107,0.0,0.0,0.0,0.0,0.684,0.158,0.1,0.15,39.0,40.0,43.0,38.0,
1651447525.6716244,5.107,0.05,0.05,0.0,0.0,0.524,0.22699999999999998,0.25,0.3,40.0,39.0,41.0,39.0,
1651447525.871937,5.107,0.0,0.0,0.0,0.0,0.33299999999999996,0.1,0.05,0.7,37.0,38.0,41.0,42.0,
1651447526.0722575,5.107,0.05,0.0,0.05,0.0,0.158,0.316,0.609,0.2,40.0,41.0,43.0,38.0,
1651447526.2725563,5.107,0.05,0.0,0.0,0.0,0.45,0.21100000000000002,0.25,0.21100000000000002,42.0,40.0,42.0,38.0,
1651447526.472859,5.038,0.05,0.0,0.048,0.0,0.3,0.28600000000000003,0.21100000000000002,0.429,40.0,40.0,42.0,39.0,
1651447526.6731873,5.038,0.05,0.048,0.0,0.0,0.33299999999999996,0.158,0.053,0.667,37.0,39.0,41.0,42.0,
1651447526.8734846,5.038,0.0,0.0,0.0,0.095,0.474,0.095,0.05,0.5710000000000001,39.0,39.0,41.0,41.0,
1651447527.073782,5.038,0.0,0.05,0.0,0.0,0.316,0.25,0.053,0.55,38.0,39.0,41.0,41.0,
1651447527.2740958,5.038,0.048,0.0,0.0,0.0,0.474,0.15,0.15,0.409,42.0,39.0,41.0,39.0,
1651447527.4744048,5.08,0.05,0.0,0.0,0.0,0.263,0.263,0.45,0.222,37.0,42.0,44.0,38.0,
1651447527.674699,5.08,0.0,0.05,0.0,0.0,0.095,1.0,0.053,0.095,37.0,45.0,41.0,37.0,
1651447527.8750055,5.08,0.05,0.0,0.0,0.048,0.381,0.7,0.095,0.05,38.0,44.0,41.0,37.0,
