time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7,
1650838133.490864,0.0,1.0,0.667,1.0,1.0,1.0,1.0,1.0,1.0,40.0,40.0,42.0,38.0,
1650838133.692695,0.0,0.3,0.368,0.4,0.4,0.4,0.905,0.42100000000000004,0.4,34.0,42.0,38.0,34.0,
1650838133.8929799,0.0,0.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,33.0,41.0,37.0,33.0,
1650838134.093273,0.0,0.14300000000000002,0.0,0.0,0.05,0.05,0.9520000000000001,0.05,0.0,34.0,43.0,37.0,33.0,
1650838134.2935512,0.0,0.158,0.15,0.0,0.19,0.158,0.85,0.182,0.095,39.0,39.0,39.0,35.0,
1650838134.4938452,4.477,1.0,1.0,0.4,1.0,0.25,0.7,0.25,0.28600000000000003,37.0,42.0,40.0,36.0,
1650838134.6941235,4.477,0.55,0.45,0.0,0.55,0.429,0.5,0.33299999999999996,0.7140000000000001,38.0,39.0,42.0,42.0,
1650838134.894449,4.477,0.9,0.0,0.0,0.0,0.353,0.7140000000000001,0.375,0.353,39.0,45.0,44.0,39.0,
1650838135.0947406,4.477,0.105,0.524,0.0,0.05,0.368,0.85,0.429,0.4,39.0,46.0,44.0,39.0,
1650838135.295076,6.244,0.1,0.0,0.0,0.0,0.4,0.4,1.0,0.4,39.0,43.0,50.0,39.0,
1650838135.4953647,6.244,0.5,0.0,0.0,0.048,0.5,0.737,0.4,0.4,41.0,44.0,45.0,40.0,
1650838135.6956475,6.244,0.28600000000000003,0.0,0.0,0.0,0.905,0.45,0.4,0.4,46.0,43.0,45.0,40.0,
1650838135.8959384,6.244,0.789,0.0,0.0,0.2,0.55,0.42100000000000004,0.5,0.389,44.0,42.0,45.0,40.0,
1650838136.0962255,6.244,0.14300000000000002,0.0,0.048,0.524,0.762,0.524,0.5,0.455,45.0,43.0,46.0,41.0,
1650838136.2965095,6.336,0.0,0.0,0.0,0.0,0.474,0.33299999999999996,0.85,0.33299999999999996,41.0,44.0,53.0,41.0,
1650838136.4967842,6.336,0.091,0.0,0.0,0.0,1.0,0.381,0.455,0.381,47.0,43.0,46.0,41.0,
1650838136.697073,6.336,0.895,0.0,0.048,0.0,0.55,0.55,0.368,0.5710000000000001,41.0,46.0,46.0,41.0,
1650838136.8973765,6.336,0.05,0.0,0.0,0.0,0.478,0.6,0.8,0.455,41.0,45.0,53.0,42.0,
1650838137.0976691,6.336,0.095,0.0,0.0,0.0,0.368,0.316,0.85,0.353,43.0,44.0,50.0,41.0,
1650838137.2979386,6.557,0.0,0.0,0.0,0.0,0.33299999999999996,0.368,0.316,1.0,41.0,43.0,47.0,46.0,
1650838137.498203,6.557,0.095,0.0,0.0,0.0,0.409,1.0,0.429,0.409,41.0,49.0,46.0,41.0,
1650838137.698478,6.557,0.316,0.0,0.0,0.0,0.455,0.7,0.636,0.5,42.0,46.0,49.0,43.0,
1650838137.8987646,6.557,0.45,0.0,0.0,0.0,0.8,0.429,0.47600000000000003,0.4,48.0,44.0,47.0,41.0,
1650838138.0990586,6.557,0.095,0.0,0.0,0.0,0.4,1.0,0.4,0.4,42.0,50.0,47.0,41.0,
1650838138.2993338,6.37,0.053,0.0,0.0,0.0,0.33299999999999996,0.368,0.955,0.316,41.0,46.0,55.0,41.0,
1650838138.4996111,6.37,0.3,0.0,0.0,0.0,0.4,0.368,0.9,0.368,42.0,46.0,52.0,43.0,
1650838138.6999056,6.37,1.0,1.0,0.955,0.95,0.28600000000000003,0.28600000000000003,0.33299999999999996,0.33299999999999996,40.0,43.0,48.0,40.0,
1650838138.9001968,6.37,0.23800000000000002,1.0,1.0,1.0,0.316,0.263,0.647,0.316,41.0,43.0,48.0,42.0,
1650838139.1004672,6.37,0.05,0.095,0.667,0.05,0.294,0.33299999999999996,0.389,0.75,40.0,43.0,47.0,46.0,
1650838139.300753,6.267,0.1,0.0,0.0,0.0,0.455,0.42100000000000004,0.368,1.0,41.0,44.0,47.0,47.0,
1650838139.5010426,6.267,0.0,0.0,0.0,0.0,0.368,0.368,0.9,0.45,41.0,46.0,54.0,43.0,
1650838139.701335,6.267,0.0,0.0,0.0,0.0,0.667,0.632,0.368,0.368,48.0,45.0,49.0,42.0,
1650838139.9016206,6.267,0.7140000000000001,0.0,0.0,0.0,0.4,0.474,0.55,0.5,42.0,45.0,53.0,42.0,
1650838140.1019106,6.267,0.053,0.0,0.0,0.0,0.95,0.368,0.33299999999999996,0.368,48.0,45.0,47.0,42.0,
1650838140.302197,6.267,0.905,0.0,0.0,0.0,0.619,0.455,0.5710000000000001,0.429,44.0,46.0,50.0,42.0,
1650838140.5024784,6.267,0.053,0.0,0.0,0.0,0.8,0.368,0.526,0.35,43.0,45.0,53.0,42.0,
1650838140.70277,6.042,0.1,0.0,0.0,0.0,0.478,0.696,0.737,0.478,42.0,48.0,52.0,42.0,
1650838140.903071,6.042,0.0,0.0,0.0,0.0,0.4,0.455,1.0,0.4,42.0,47.0,55.0,43.0,
1650838141.1033628,6.042,0.857,0.0,0.0,0.0,0.45,0.45,0.45,0.65,43.0,45.0,49.0,46.0,
1650838141.3036304,6.172,0.053,0.0,0.0,0.048,0.33299999999999996,0.9520000000000001,0.33299999999999996,0.33299999999999996,42.0,51.0,48.0,42.0,
1650838141.5039232,6.172,0.05,0.0,0.0,0.0,0.818,0.474,0.478,0.455,45.0,45.0,51.0,42.0,
1650838141.7042074,6.172,0.0,0.0,0.0,0.0,0.33299999999999996,0.684,0.667,0.33299999999999996,43.0,51.0,50.0,43.0,
1650838141.9044888,6.172,0.05,0.0,0.0,0.0,0.905,0.45,0.455,0.4,49.0,46.0,49.0,43.0,
1650838142.104772,6.172,0.33299999999999996,0.0,0.0,0.0,0.833,0.42100000000000004,0.42100000000000004,0.42100000000000004,44.0,46.0,49.0,45.0,
1650838142.3050518,6.592,0.474,0.0,0.0,0.0,0.524,0.389,0.667,0.368,43.0,47.0,54.0,43.0,
1650838142.505333,6.592,0.05,0.0,0.048,0.0,0.429,0.455,1.0,0.429,43.0,47.0,56.0,44.0,
1650838142.7056148,6.592,0.05,0.0,0.0,0.0,0.33299999999999996,0.33299999999999996,1.0,0.316,43.0,47.0,57.0,44.0,
1650838142.905899,6.592,0.8,0.0,0.0,0.0,0.524,0.55,0.5,0.45,42.0,50.0,49.0,43.0,
1650838143.1061862,6.592,0.15,0.0,0.0,0.0,0.4,0.905,0.42100000000000004,0.33299999999999996,43.0,49.0,52.0,43.0,
1650838143.306467,6.592,0.9,0.0,0.21100000000000002,0.0,0.545,0.5,0.565,0.545,44.0,47.0,51.0,43.0,
1650838143.5067801,6.592,0.21100000000000002,0.0,0.15,0.0,0.895,0.368,0.4,0.381,49.0,46.0,48.0,43.0,
1650838143.7070482,6.252,0.6,0.0,0.0,0.0,0.75,0.368,0.474,0.444,45.0,46.0,50.0,44.0,
1650838143.9073472,6.252,0.5,0.0,0.0,0.0,0.45,0.5,0.65,0.33299999999999996,44.0,49.0,51.0,43.0,
1650838144.1076198,6.252,0.81,0.8420000000000001,0.667,0.105,0.5,0.4,0.42100000000000004,0.47600000000000003,42.0,47.0,49.0,44.0,
1650838144.307894,6.252,0.737,0.42100000000000004,0.0,0.65,0.545,0.524,0.4,0.4,44.0,48.0,48.0,43.0,
1650838144.508082,6.18,0.05,0.14300000000000002,0.85,0.0,0.684,0.444,0.42100000000000004,0.389,47.0,46.0,48.0,43.0,
1650838144.7083626,6.18,0.05,0.0,0.0,0.0,0.684,0.682,0.429,0.429,44.0,50.0,49.0,43.0,
1650838144.908645,6.18,0.055999999999999994,0.0,0.048,0.0,0.381,0.4,0.409,0.95,43.0,47.0,49.0,46.0,
1650838145.1089306,6.18,0.727,0.0,0.0,0.0,0.389,0.667,0.41200000000000003,0.42100000000000004,43.0,50.0,49.0,43.0,
1650838145.3092,6.34,0.055999999999999994,0.0,0.0,0.0,0.429,0.833,0.429,0.652,43.0,47.0,49.0,46.0,
1650838145.5094814,6.34,0.048,0.0,0.0,0.0,1.0,0.33299999999999996,0.381,0.316,50.0,46.0,49.0,44.0,
1650838145.7097592,6.34,0.05,0.0,0.0,0.0,0.895,0.381,0.368,0.524,47.0,46.0,49.0,46.0,
1650838145.9100454,6.34,1.0,0.667,0.0,0.0,0.526,0.47600000000000003,0.45,0.4,47.0,46.0,49.0,43.0,
1650838146.1103234,6.34,0.35,0.42100000000000004,0.8,0.21100000000000002,0.5,0.368,0.389,0.579,45.0,46.0,49.0,44.0,
1650838146.3106046,6.34,0.75,0.75,0.1,0.45,0.444,0.55,0.429,0.35,43.0,49.0,48.0,42.0,
1650838146.5109043,6.34,0.65,0.091,0.05,0.3,0.524,0.611,0.474,0.381,45.0,47.0,50.0,43.0,
1650838146.7111783,6.122,0.053,0.0,0.0,0.35,0.526,0.455,0.455,0.773,43.0,45.0,49.0,48.0,
1650838146.911461,6.122,0.048,0.0,0.048,0.0,0.455,0.4,0.381,1.0,43.0,45.0,49.0,48.0,
1650838147.1117435,6.122,0.158,0.0,0.0,0.0,0.33299999999999996,0.611,0.368,0.737,43.0,50.0,49.0,44.0,
1650838147.3120615,6.363,0.5,0.65,0.0,0.0,0.524,0.5,0.389,0.524,45.0,46.0,50.0,45.0,
1650838147.512354,6.363,0.25,0.7140000000000001,0.737,0.0,0.474,0.609,0.542,0.429,43.0,49.0,49.0,43.0,
1650838147.7126362,6.363,0.05,0.0,0.0,0.0,0.368,1.0,0.294,0.33299999999999996,45.0,52.0,50.0,44.0,
1650838147.9129295,6.363,0.05,0.0,0.0,0.0,0.33299999999999996,1.0,0.4,0.316,44.0,52.0,49.0,43.0,
1650838148.1132162,6.363,0.111,0.0,0.0,0.0,0.41200000000000003,0.316,0.8,0.389,46.0,47.0,51.0,45.0,
1650838148.313518,6.363,0.05,0.45,0.9,0.0,0.455,0.47600000000000003,0.524,0.6,44.0,47.0,52.0,44.0,
1650838148.5137885,6.363,0.6,0.2,0.0,0.0,0.55,0.4,0.524,0.47600000000000003,47.0,47.0,50.0,44.0,
1650838148.7140636,6.363,0.21100000000000002,0.0,0.091,0.0,0.5,0.526,0.389,0.556,44.0,47.0,53.0,44.0,
1650838148.914342,6.546,0.905,0.3,0.0,0.0,0.389,0.45,0.632,0.45,43.0,49.0,51.0,44.0,
1650838149.1146283,6.546,0.55,0.47600000000000003,0.0,0.0,0.5,0.33299999999999996,0.42100000000000004,0.55,47.0,45.0,48.0,44.0,
1650838149.3149197,6.233,1.0,0.0,0.0,0.619,0.5,0.545,0.474,0.455,45.0,47.0,50.0,44.0,
1650838149.5152047,6.233,0.667,0.474,0.0,0.0,0.7,0.429,0.45,0.4,49.0,46.0,48.0,43.0,
1650838149.7154846,6.233,0.055999999999999994,0.14300000000000002,0.6,0.14300000000000002,0.368,0.389,0.474,0.7140000000000001,44.0,47.0,52.0,44.0,
1650838149.9157615,6.233,0.059000000000000004,0.556,0.3,0.55,0.444,0.6,0.389,0.33299999999999996,45.0,48.0,49.0,43.0,
1650838150.116072,6.233,0.136,0.095,0.05,0.0,0.35,0.8640000000000001,0.35,0.444,43.0,48.0,49.0,46.0,
1650838150.316372,6.233,0.389,0.0,1.0,0.368,0.429,0.5,0.45,0.5710000000000001,43.0,47.0,51.0,44.0,
1650838150.516664,6.233,0.8420000000000001,0.5710000000000001,0.2,0.263,0.524,0.353,0.42100000000000004,0.389,42.0,46.0,50.0,45.0,
1650838150.7169511,6.233,0.762,0.684,0.619,0.0,0.41200000000000003,0.42100000000000004,0.444,0.389,44.0,46.0,51.0,44.0,
1650838150.9172251,6.176,0.579,0.636,0.6,0.0,0.524,0.5,0.389,0.316,43.0,47.0,51.0,43.0,
1650838151.1175225,6.176,0.6,0.0,0.368,0.0,0.474,0.619,0.47600000000000003,0.474,44.0,50.0,49.0,44.0,
1650838151.3177953,6.229,0.158,0.278,0.0,0.0,0.4,0.35,0.524,0.632,43.0,46.0,49.0,47.0,
1650838151.5180721,6.229,0.105,0.381,0.5710000000000001,0.7,0.429,0.579,0.5,0.47600000000000003,44.0,48.0,53.0,44.0,
1650838151.718362,6.229,0.1,0.0,0.05,0.0,0.6,0.35,0.789,0.368,49.0,47.0,51.0,44.0,
1650838151.9186342,6.229,0.895,0.9,0.0,0.0,0.391,0.667,0.45,0.45,42.0,49.0,49.0,43.0,
1650838152.1189127,6.229,0.35,0.0,0.048,0.0,0.45,0.47600000000000003,0.857,0.429,45.0,48.0,53.0,44.0,
1650838152.3192074,6.134,0.65,0.0,0.25,0.048,0.474,0.41200000000000003,0.368,0.55,44.0,49.0,50.0,44.0,
1650838152.5195005,6.134,0.0,0.05,0.316,0.0,0.4,0.429,0.8420000000000001,0.474,43.0,47.0,57.0,44.0,
1650838152.7197864,6.134,0.053,0.053,0.23800000000000002,0.091,0.25,0.313,0.765,0.375,44.0,48.0,53.0,45.0,
1650838152.9200854,6.134,0.7140000000000001,0.6,0.526,0.0,0.455,0.429,0.45,0.591,44.0,46.0,51.0,46.0,
1650838153.120372,6.134,0.053,0.0,0.0,0.0,0.8,0.368,0.35,0.526,49.0,46.0,48.0,44.0,
1650838153.3206425,6.134,0.14300000000000002,0.0,0.05,0.05,0.833,0.45,0.294,0.278,46.0,48.0,49.0,44.0,
1650838153.5209274,6.134,0.95,0.0,0.0,0.6,0.526,0.42100000000000004,0.47600000000000003,0.45,45.0,46.0,51.0,44.0,
1650838153.72121,6.134,0.7140000000000001,0.5,0.0,0.1,0.55,0.368,0.33299999999999996,0.684,45.0,46.0,49.0,47.0,
1650838153.921508,6.115,0.0,0.095,0.55,0.0,0.35,0.316,0.619,0.611,44.0,47.0,55.0,44.0,
1650838154.1217992,6.115,0.95,0.0,0.75,0.0,0.5,0.42100000000000004,0.4,0.474,47.0,47.0,50.0,44.0,
1650838154.3220909,6.115,0.0,0.0,0.048,0.0,1.0,0.429,0.429,0.409,50.0,47.0,50.0,44.0,
1650838154.5223675,6.115,0.762,0.0,0.0,0.0,0.579,0.42100000000000004,0.45,0.47600000000000003,44.0,46.0,52.0,45.0,
1650838154.722643,6.115,0.055999999999999994,0.0,0.3,0.0,0.5,0.682,0.45,0.47600000000000003,45.0,47.0,50.0,46.0,
1650838154.922938,6.042,0.136,0.0,0.45,0.0,0.4,0.47600000000000003,0.429,0.8,44.0,46.0,50.0,49.0,
1650838155.1232166,6.042,0.0,0.095,0.0,0.0,0.368,0.35,1.0,0.35,43.0,48.0,57.0,44.0,
1650838155.3234837,6.042,0.05,0.8420000000000001,0.0,0.474,0.42100000000000004,0.556,0.4,0.389,44.0,49.0,51.0,44.0,
1650838155.5237768,6.267,0.105,0.0,0.0,0.23800000000000002,0.42100000000000004,0.316,0.33299999999999996,0.889,44.0,46.0,50.0,49.0,
1650838155.7240715,6.267,0.1,0.75,0.05,0.053,0.65,0.444,0.316,0.42100000000000004,48.0,46.0,49.0,44.0,
1650838155.9243553,6.267,0.5,0.05,0.0,0.0,0.522,0.5,0.833,0.429,45.0,49.0,52.0,44.0,
1650838156.1246402,6.267,0.579,0.0,0.0,0.0,0.42100000000000004,0.381,0.47600000000000003,0.684,46.0,47.0,51.0,45.0,
1650838156.3249278,6.279,0.5,0.0,0.05,0.0,0.7,0.474,0.368,0.444,49.0,46.0,49.0,44.0,
1650838156.5252044,6.279,0.4,0.0,0.0,0.8,0.45,0.5,0.455,0.636,45.0,49.0,50.0,45.0,
1650838156.7254925,6.279,0.737,0.05,0.0,0.0,0.556,0.43799999999999994,0.389,0.368,46.0,47.0,49.0,45.0,
1650838156.9257877,6.279,0.81,0.1,0.0,0.0,0.5,0.522,0.47600000000000003,0.579,45.0,47.0,50.0,47.0,
1650838157.1260598,6.279,0.526,0.5710000000000001,0.095,0.095,0.4,0.524,0.526,0.5,44.0,49.0,50.0,44.0,
1650838157.3263452,6.279,0.7,0.75,0.3,0.0,0.5,0.33299999999999996,0.526,0.368,46.0,46.0,53.0,43.0,
1650838157.526617,6.325,0.7,0.316,0.35,0.0,0.45,0.381,0.65,0.389,45.0,46.0,52.0,44.0,
1650838157.7269003,6.325,0.429,0.47600000000000003,0.684,0.095,0.65,0.4,0.45,0.5,49.0,47.0,50.0,44.0,
1650838157.9271967,6.325,0.737,0.0,0.2,0.0,0.632,0.368,0.5,0.389,45.0,47.0,53.0,44.0,
1650838158.127472,6.325,0.22699999999999998,0.316,0.524,0.0,0.389,0.33299999999999996,0.368,0.762,46.0,46.0,49.0,46.0,
1650838158.327766,6.325,0.632,0.048,0.0,0.048,0.7140000000000001,0.5,0.45,0.4,45.0,48.0,52.0,45.0,
1650838158.528058,6.325,1.0,0.0,0.0,0.0,0.42100000000000004,0.42100000000000004,0.5,0.5,44.0,47.0,53.0,45.0,
1650838158.728343,6.325,0.25,0.05,0.0,0.0,0.42100000000000004,0.42100000000000004,0.75,0.294,44.0,48.0,56.0,44.0,
1650838158.9286337,6.325,0.05,0.556,0.773,0.0,0.619,0.368,0.45,0.42100000000000004,49.0,46.0,50.0,43.0,
1650838159.1289244,6.325,0.0,0.0,0.6,0.0,0.579,0.474,0.42100000000000004,0.5,45.0,47.0,50.0,46.0,
1650838159.3291993,6.344,0.6,0.579,0.263,0.0,0.526,0.45,0.353,0.5,47.0,48.0,50.0,45.0,
1650838159.5295107,6.344,0.619,0.909,0.14300000000000002,0.0,0.565,0.4,0.4,0.474,44.0,46.0,48.0,44.0,
1650838159.7297962,6.344,0.556,0.65,0.8420000000000001,1.0,0.41200000000000003,0.45,0.278,0.222,43.0,48.0,49.0,43.0,
1650838159.930094,6.344,0.6,0.0,0.2,0.05,0.316,0.474,0.75,0.4,44.0,47.0,56.0,44.0,
1650838160.13038,6.344,0.526,0.579,0.14300000000000002,0.0,0.5710000000000001,0.381,0.45,0.55,47.0,47.0,50.0,44.0,
1650838160.3306546,6.344,0.7,0.25,0.667,0.0,0.45,0.389,0.5,0.5,44.0,47.0,52.0,45.0,
1650838160.5309486,6.21,0.7140000000000001,0.727,0.6,0.0,0.278,0.429,0.5,0.47100000000000003,43.0,46.0,50.0,47.0,
1650838160.7312403,6.21,0.105,0.1,0.21100000000000002,0.05,0.6,0.474,0.35,0.636,47.0,47.0,50.0,44.0,
1650838160.9315484,6.21,0.737,0.0,0.737,0.0,0.526,0.381,0.55,0.368,44.0,46.0,54.0,44.0,
