time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7,
1650320293.4262903,0.0,1.0,1.0,1.0,1.0,0.33299999999999996,0.667,0.33299999999999996,0.33299999999999996,37.0,41.0,41.0,36.0,
1650320293.6265945,0.0,0.95,0.524,0.23800000000000002,0.0,0.3,0.17600000000000002,0.35,0.381,37.0,39.0,42.0,38.0,
1650320293.8268802,0.0,0.8,0.9470000000000001,0.5,0.0,0.391,0.375,0.348,0.364,37.0,37.0,41.0,37.0,
1650320294.0271747,0.0,0.4,0.7140000000000001,0.381,0.0,0.368,0.368,0.316,0.368,36.0,38.0,42.0,37.0,
1650320294.2274745,0.0,1.0,0.8,0.9470000000000001,0.684,0.23800000000000002,0.28600000000000003,0.364,0.23800000000000002,36.0,37.0,40.0,36.0,
1650320294.4277594,5.275,1.0,0.0,0.048,0.35,0.263,0.21100000000000002,0.21100000000000002,0.21100000000000002,36.0,37.0,40.0,36.0,
1650320294.6280956,5.275,1.0,1.0,0.048,0.0,0.318,0.348,0.33299999999999996,0.348,36.0,37.0,40.0,36.0,
1650320294.8283942,5.275,0.9520000000000001,0.6,0.158,0.0,0.105,0.2,0.23800000000000002,0.158,35.0,36.0,39.0,36.0,
1650320295.0286891,5.275,1.0,1.0,1.0,0.0,0.11800000000000001,0.11800000000000001,0.16699999999999998,0.16699999999999998,36.0,36.0,40.0,36.0,
1650320295.2289908,5.275,0.762,0.737,0.667,0.0,0.16699999999999998,0.16699999999999998,0.11800000000000001,0.158,35.0,36.0,39.0,36.0,
1650320295.429284,4.386,0.85,0.545,0.9440000000000001,0.0,0.364,0.364,0.318,0.33299999999999996,36.0,37.0,39.0,36.0,
1650320295.6295552,4.386,0.722,0.9,0.955,0.0,0.111,0.16699999999999998,0.21100000000000002,0.16699999999999998,35.0,36.0,39.0,35.0,
1650320295.8298802,4.386,0.75,0.0,0.316,0.0,0.478,0.52,0.455,0.478,37.0,39.0,42.0,37.0,
1650320296.0301669,4.386,0.9470000000000001,0.737,0.75,0.048,0.11800000000000001,0.158,0.25,0.21100000000000002,36.0,36.0,40.0,36.0,
1650320296.2304902,4.386,0.905,0.6,0.8,0.0,0.222,0.17600000000000002,0.3,0.3,36.0,37.0,40.0,36.0,
1650320296.43079,4.386,0.9520000000000001,0.45,0.0,0.0,0.15,0.15,0.111,0.158,35.0,36.0,39.0,36.0,
1650320296.6310885,4.954,0.316,1.0,1.0,0.0,0.3,0.3,0.21100000000000002,0.21100000000000002,35.0,37.0,40.0,36.0,
1650320296.831366,4.954,0.857,0.579,0.3,0.0,0.28600000000000003,0.318,0.28600000000000003,0.3,37.0,37.0,41.0,37.0,
1650320297.0316825,4.954,0.7,0.9520000000000001,0.85,0.0,0.25,0.21100000000000002,0.25,0.21100000000000002,36.0,36.0,39.0,36.0,
1650320297.2319741,4.954,0.85,0.905,0.429,0.0,0.125,0.16699999999999998,0.067,0.125,36.0,37.0,40.0,36.0,
1650320297.4322698,4.458,0.9520000000000001,0.526,0.632,0.0,0.28600000000000003,0.25,0.28600000000000003,0.2,35.0,36.0,39.0,35.0,
